Artikelnr.	Ordercode	RoHS-compatibel?	Uw art.nr.	Opmerkingen	Hoeveelheid	Artikelnummer fabrikant	Naam fabrikant	Fabrikant / beschrijving	Beschikbaarheid	Prijs per stuk	Artikelprijs	Prijs na korting
25	2519459	RoHS: YES / FTALATEN: YES			2.0	MAX3232ESE+	MAXIM INTEGRATED PRODUCTS	MAXIM INTEGRATED PRODUCTS  Low Power, RS232 Transmitter/Receiver, 2 Drivers/2 Receivers, MAX232 compatible, SOIC-16	271	38.200	7.64	
27	2432757	RoHS: YES / FTALATEN: YES			1.0	PIC24FJ128GB204-I/PT	MICROCHIP	MICROCHIP  PIC/DSPIC Microcontroller, General Purpose, PIC24 Family PIC24FJ GB Series Microcontrollers, PIC24	353	42.200	4.22	
28	2812635	RoHS: Y-EX / FTALATEN: YES			1.0	OKI-78SR-5/1.5-W36E-C	MURATA POWER SOLUTIONS	MURATA POWER SOLUTIONS  Non Isolated POL DC/DC Converter, 1 Output, 7.5 W, 5 V, 1.5 A, Fixed, Through Hole	167	52.900	5.29	
29	1627177	RoHS: YES / FTALATEN: YES			3.0	MCP1703-3302E/DB	MICROCHIP	MICROCHIP  Fixed LDO Voltage Regulator, 2.7V to 16V, 525mV Dropout, 3.3Vout, 250mAout, SOT-223-3	5388	0.5800	1.74	
30	9509682	RoHS: YES / FTALATEN: YES			1.0	X32K768L104	AEL CRYSTALS	AEL CRYSTALS  Crystal, 32.768 kHz, Cylinder Radial, 8mm x 3mm Dia, 12.5 pF, 20 ppm	37608	11.400	1.14	
31	2443237	RoHS: YES / FTALATEN: YES			10.0	BLM18HE152SN1D	MURATA	MURATA  Ferrite Bead, 0603 [1608 Metric], 1.5 kohm, 500 mA, BLM18H Series, 0.5 ohm, ± 25%	30511	0.0974	0.97	
32	1685644	RoHS: YES / FTALATEN: TBA			1.0	LM2940S-9.0/NOPB .	TEXAS INSTRUMENTS	TEXAS INSTRUMENTS  Fixed LDO Voltage Regulator, 0V to 26V, 500mV Dropout, 9Vout, 1Aout, TO-263-3	11 Beschikbaar tot einde voorraad	18.000	1.80	
												
							Subtotaal	81.81				
							Totaal aantal goederen	81.81				
							Levering	0.00				
							BTW	Onbekend				
							Totaal	81.81				
